nombre,username,contenido,comentarios,reacciones,compartido
Mae Montaño,@maemontanov,"·Emocionada y honrada de poder continuar con mi trabajo por los sectores más necesitados, ahora desde el ministerio @InclusionEc.
Mi compromiso inquebrantable por un Ecuador inclusivo con mejores condiciones económicas y sociales para todos. #EcuadorDelEncuentro#CambioCiudadano",1K,8.8K,1.1K
Guillermo Lasso,@LassoGuillermo,"·Acaba de fallecer el cantante indígena Jesús Fichamba de COVID-19, quien nos deja un gran legado con la composición de La Pinta, La Niña y La Santa María y varios éxitos artísticos. Mis más sinceras condolencias a sus seres queridos, que descanse en paz.",202,6.3K,946
Guillermo Lasso,@LassoGuillermo,·Fe de erratas: Jesús Fichamba fue intérprete de dicho tema musical.,33,773,51
Bernarda Ordóñez Moscoso,@BernardaOM,"·Gracias Pdte. @LassoGuillermo por la confianza que me brinda como Secretaria @DDHH_Ec. Asumo con responsabilidad el compromiso de trabajar por un país donde se respeten y garanticen los derechos.

Mujeres y jóvenes demostraremos que podemos contribuir al desarrollo del Ecuador",530,6.8K,786
Sebastián Palacios,@SebasPalaciosSP,"·Como deportista, sé lo que significa prepararse para enfrentar un nuevo reto. Asumo con humildad este desafío, y prometo como siempre, dejarlo todo en la cancha!

Gracias @LassoGuillermo por la confianza. #EcuadorEsDeporte ",586,7.8K,811
Movimiento Cambio Ciudadano,@MovimientoCCEC,"·Mae Montaño, nueva Ministra de Inclusión Económica y Social... en nuestra líder vemos a una servidora por naturaleza, íntegra, solidaria y eficiente.

Un gran acierto para @InclusionEc, un ministerio decisivo en la transformación hacia el #EcuadorDelEcuentro #CambioCiudadano",207,2.6K,499
Guillermo Lasso,@LassoGuillermo,"·.@BernardaOM estará a cargo de la Secretaría de Derechos Humanos. 

El nuevo gobierno inicia una lucha sin tregua contra la violencia de género. Desde esta Cartera de Estado, dedicaremos todos los esfuerzos por la plena vigencia de los derechos humanos en Ecuador.",124,1.9K,327
Guillermo Lasso,@LassoGuillermo,"·En el Ministerio de Cultura y Patrimonio, contamos con María Elena Machuca.

La pandemia ha golpeado al arte y la cultura. Trabajaremos para que los artistas tengan más oportunidades, que sean reconocidos por su mérito creativo, y que sean plenamente recompensados por sus obras.",77,1.5K,321
Bernarda Ordóñez Moscoso,@BernardaOM,"·Gracias Pdte. @LassoGuillermo por la confianza que me brinda como Secretaria @DDHH_Ec. Asumo con responsabilidad el compromiso de trabajar por un país donde se respeten y garanticen los derechos.

Mujeres y jóvenes demostraremos que podemos contribuir al desarrollo del Ecuador",530,6.8K,786
Sebastián Palacios,@SebasPalaciosSP,"·Como deportista, sé lo que significa prepararse para enfrentar un nuevo reto. Asumo con humildad este desafío, y prometo como siempre, dejarlo todo en la cancha!

Gracias @LassoGuillermo por la confianza. #EcuadorEsDeporte ",586,7.8K,811
Movimiento Cambio Ciudadano,@MovimientoCCEC,"·Mae Montaño, nueva Ministra de Inclusión Económica y Social... en nuestra líder vemos a una servidora por naturaleza, íntegra, solidaria y eficiente.

Un gran acierto para @InclusionEc, un ministerio decisivo en la transformación hacia el #EcuadorDelEcuentro #CambioCiudadano",207,2.6K,499
Guillermo Lasso,@LassoGuillermo,"·.@BernardaOM estará a cargo de la Secretaría de Derechos Humanos. 

El nuevo gobierno inicia una lucha sin tregua contra la violencia de género. Desde esta Cartera de Estado, dedicaremos todos los esfuerzos por la plena vigencia de los derechos humanos en Ecuador.",124,1.9K,327
